inputs,target 
i like puppies. @ i like blue.,I like puppies a lot and have one name blue because that’s my favorite color.
i like puppies. @ i like blue.,My dog has a blue collar.
i like puppies. @ i like blue.,I am trying to decide what color of colar to get my new puppy.
i have three great dogs. @ i do not eat meat.,"I love animals, and avoid anything that could harm them."
i have three great dogs. @ i do not eat meat.,I like animals a whole lot.
i have three great dogs. @ i do not eat meat.,I am a animal lover too.
i have one pet. @ i enjoy speaking in different languages.,my pet parakeet speaks in spanish
i have one pet. @ i enjoy speaking in different languages.,"I love speaking in different languages, and have heard that pets have their own special language to communicate with owners."
i have one pet. @ i enjoy speaking in different languages.,I have poodles I got from French and Italian breeders.
i lift a lot of weights. @ i lift a lot at the gym.,I lift at home
i lift a lot of weights. @ i lift a lot at the gym.,I'm trying to stay in shape and build muscle.
i lift a lot of weights. @ i lift a lot at the gym.,Weight lifting is a favorite hobby of mine.
i am a student. @ i have 5 children.,"It's been a while since I was last in school, I'm married now and have five children."
i am a student. @ i have 5 children.,Four of my five children are currently in school as students.
i am a student. @ i have 5 children.,I attend college as an adult.
i complete school this year. @ i wish to join education.,I got my masters in teaching.
i complete school this year. @ i wish to join education.,"Completing higher levels of education is a reliable way to earn more money and live a happier life, so I'm determined to do so."
i complete school this year. @ i wish to join education.,I am glad I finished college.  Now I have the degree to become a teacher.
i rock out to old tunes. @ i am a driver for a local bakery.,I like to dance to oldies when off work from being a driver.
i rock out to old tunes. @ i am a driver for a local bakery.,"Yeah I do have my side hobbies too, most of which others do not know of outside my ""normal"" work-life balance."
i rock out to old tunes. @ i am a driver for a local bakery.,I like to listen to the radio when I'm driving.  I do deliveries for a bakery.
i dropped out of college. @ i am in the army.,"I decided I couldn't afford college, so I went in the army instead."
i dropped out of college. @ i am in the army.,I want to be a doctor.
i dropped out of college. @ i am in the army.,"I'm going to go to college in a few years, once I'm done with my service. Right now I am in the army."
i want to get my own place. @ i have zero desire to work.,I can't afford most places I want to live since I am not motivated to work.
i want to get my own place. @ i have zero desire to work.,I have to work to have the money to get my own place.
i want to get my own place. @ i have zero desire to work.,you will need to get a good job if you want to move from your parents.
i am a musician. @ i like to write my own songs.,"I write songs for my musician career,"
i am a musician. @ i like to write my own songs.,"I want to share my feelings,"
i am a musician. @ i like to write my own songs.,I'm not a musician but I love singing. I even like to write my own songs.
i take her to the park. @ my boyfriend is unemployed.,Me and my boyfriend hang out in the park alot since he is unemployed.
i want to get married again. @ i m angry at my coworker.,"Not me, I'm married to my work. Unfortunately I'm pissed at my coworker right now."
i am a student. @ i like painting,my major is art.
i am a student. @ i like painting,My mom has always been into crafting. That's probably why I began to like painting.
i am a student. @ i like painting,I love when it thunders.
i like to read horror novels. @ i like to go to the lake.,I love to go to the lake and one of my favorite horror movies takes place at the lake.
i like to read horror novels. @ i like to go to the lake.,I also enjoy the outdoors.
math is my favorite subject. @ i am a boy.,My sister hates math. I think I like it because I am a boy.
i live by the ocean. @ i have a weird hobby of hunting giant reptiles in remote locations !.,I see a lot of reptiles in the area that I love.
i live by the ocean. @ i have a weird hobby of hunting giant reptiles in remote locations !.,i enjoy the water.
i live by the ocean. @ i have a weird hobby of hunting giant reptiles in remote locations !.,there are many lizards on the beach
my job requires me to be there three days a week. @ the taste of hops and barley is something i could do without.,I go to the pub on my day off.
my job requires me to be there three days a week. @ the taste of hops and barley is something i could do without.,"My job needs me to work three days a week, which is fine except it's at a brewery and I get a little sick of the beer smell. So I don't drink much because the taste of hops and barley is something I can do without."
my job requires me to be there three days a week. @ the taste of hops and barley is something i could do without.,"Not too bad then. I think many drink to cope with stressful, unfavorable work conditions in life."
my clothes are usually dark colors. @ my vehicle is a dark color.,It's what I chose for everything I buy. Even
my clothes are usually dark colors. @ my vehicle is a dark color.,"I noticed you wear a lot of dark colors, also your home has dark colors, what else do you own that is a darker color?"
my clothes are usually dark colors. @ my vehicle is a dark color.,Dark colors are my favorite colors.
my clothes are usually dark colors. @ my vehicle is a dark color.,"I like a lot of bright colors and patterns, even my car is pink!"
my clothes are usually dark colors. @ my vehicle is a dark color.,Dark colors are my favorite colors
my clothes are usually dark colors. @ my vehicle is a dark color.,I like dark colors on everything as well.
my clothes are usually dark colors. @ my vehicle is a dark color.,"My clothes are usually dark colors because that's just kind of my style. My home's like that as well and my vehicle is a dark color, too."
my clothes are usually dark colors. @ my vehicle is a dark color.,I like bright clothes but dark cars.
my clothes are usually dark colors. @ my vehicle is a dark color.,I tend to stick with darker shades as well.
i like my job. @ i knit presents for my friends.,I like buying gifts with the money I earn from my job.
i like my job. @ i knit presents for my friends.,I make money by knitting.  I give some of my work to my friends.
i like my job. @ i knit presents for my friends.,"I quit my job so I could concentrate on my hobbies, like knitting. I like knitting for my friends."
i like to watch foreign television. @ i am a grandmother.,Usually I watch television with my family.
i like to watch foreign television. @ i am a grandmother.,"I like to watch foreign television which is good because I don't get out much due to my old age. At this stage of my life, I am a grandmother."
i like to watch foreign television. @ i am a grandmother.,"Yeah as not all ""good"" media or content must always be ""Americanized"" or etc. My relatives have become a bit too sucked in regarding American politics."
i enjoy books and resting by inland bodies of water on saturdays and sundays. @ my job helpe me teach kids.,Sounds enjoyable if it were possible to lounge as such for more days of the week!
i enjoy books and resting by inland bodies of water on saturdays and sundays. @ my job helpe me teach kids.,I like teaching kids things I have learned from books.
i enjoy books and resting by inland bodies of water on saturdays and sundays. @ my job helpe me teach kids.,I work at a summer camp with kids and teach them how to swim and practice water safety.
i enjoy books and resting by inland bodies of water on saturdays and sundays. @ my job helpe me teach kids.,"I enjoy reading as well, my job also requires me to read, because I work with children. What do you do for work?"
i enjoy books and resting by inland bodies of water on saturdays and sundays. @ my job helpe me teach kids.,I work as a librarian.
i enjoy books and resting by inland bodies of water on saturdays and sundays. @ my job helpe me teach kids.,I read by the lake when off work on the weekends.
math is my favorite subject. @ i go to high school.,"Great, at what level do you study math?"
math is my favorite subject. @ i go to high school.,I preferred reading when I was in school. Are you in school currently?
i eat at burger king five times a week. @ i jump out of airplanes.,I work off a lot of calories at work.
i eat at burger king five times a week. @ i jump out of airplanes.,I ate at burger king before jumping out of the airplane.
i eat at burger king five times a week. @ i jump out of airplanes.,"I like doing risky things, but one of the things I never risk is my own health. I'm safer jumping out of airplanes than going to eat at burger king."
i own a vehicle. @ i like to exercise before work.,I like to exercise before driving to work.
i own a vehicle. @ i like to exercise before work.,Before I drive to work I like to go for a morning run.
i own a vehicle. @ i like to exercise before work.,"I own a vehicle now because my new job is too far away to walk. So since I don't walk to my job any more, I like to exercise before work."
my mother was a cosmetologist. @ i work at a business that sells morning drinks.,"My mother never worked, but I have a business selling morning drinks."
my mother was a cosmetologist. @ i work at a business that sells morning drinks.,I have a better job.
my mother was a cosmetologist. @ i work at a business that sells morning drinks.,"Mine stayed at home, but always encouraged me to have a career."
sometimes i like to visit thrift shops. @ i like to sew my own clothing.,"That is a great hobby, I am surprised how many nice homemade items that I can find in thrift shops"
sometimes i like to visit thrift shops. @ i like to sew my own clothing.,I also like to visit thrift shops because I love unique things that you can't buy in the store. I even like to to sew my own clothing.
sometimes i like to visit thrift shops. @ i like to sew my own clothing.,"I like remodeling old stuff, especially on clothing"
i enjoy naming my pets random things. @ i do not know my parents.,I got my first pet after I graduated from foster care.
i enjoy naming my pets random things. @ i do not know my parents.,"My parents like to do that too, they named my childhood dog Twinkle."
i enjoy naming my pets random things. @ i do not know my parents.,"I didn't have parents growing up, but I did have pets, and I remember the names of every one of them to this day."
i love to take road trips. @ i am a huge fan of dogs.,"me too, i like bringing my dog. i am a huge fan of them."
i love to take road trips. @ i am a huge fan of dogs.,I love to take road trips and I especially like to go visit different dog parks because I am a huge fan of dogs.
i love to take road trips. @ i am a huge fan of dogs.,Me too! I often take my dog with me
seafood is my favorite kind of food. @ i own a car.,"Sea food is good, but you can only get good sea food at a market 30 miles away. You need a car to get there."
seafood is my favorite kind of food. @ i own a car.,How would you like to go to the beach?
seafood is my favorite kind of food. @ i own a car.,I drive 10 miles to my favorite seafood spot.
i have no job. @ i love the water.,"I don't work either,  I spend my days at the ocean."
i have no job. @ i love the water.,I stay at the beach all day
i have no job. @ i love the water.,i want to work as a lifeguard
my family used to live in sydney. @ i followed in my the footsteps of my dad and wrote my first novel at 30.,I moved so I could pursue my dreams.
my family used to live in sydney. @ i followed in my the footsteps of my dad and wrote my first novel at 30.,My dad wrote about Sydney in his travel diary.
my family used to live in sydney. @ i followed in my the footsteps of my dad and wrote my first novel at 30.,My dad wrote a novel about Sydney.
i like to listen to music. @ my mother is the greatest chef in the world.,I listen to music all the time.  I usually play it while my mom cooks so she isn't bored.
i like to listen to music. @ my mother is the greatest chef in the world.,I like to listen to music with my mom.  She is really a good cook.
i like to listen to music. @ my mother is the greatest chef in the world.,I listen to music while cleaning and cooking. My mother taught me to cook - she's a great chef.
i really enjoy doing artistic things. @ i am fan of everything from classic rock to rap.,I like writing music.
i really enjoy doing artistic things. @ i am fan of everything from classic rock to rap.,I make songs in my spare time.
i really enjoy doing artistic things. @ i am fan of everything from classic rock to rap.,"I also like artistic things, especially music and singing. I like to sing all genres of music, and I am a fan of everything from classic rock to rap."
cooking is my passion !. @ i do not like fighting online.,I am a cooker not a fighter.
cooking is my passion !. @ i do not like fighting online.,I guess technology is mine.  Though you sure meet some awful people online.
cooking is my passion !. @ i do not like fighting online.,I am part of a cooking message board online.
i prefer to live where the weather s cold. @ i like to do all my shopping at walmart.,"me too but it's hot where i am. i live here anyway because of the convenience of walmart, where i like to do all my shopping."
i prefer to live where the weather s cold. @ i like to do all my shopping at walmart.,In the cold I have to buy warm clothes often.  I want them inexpensive so I like to do all my shopping at Walmart.
i am a musician. @ i like to play video games.,I have other interests besides music.
i am a musician. @ i like to play video games.,I have a lot of free time.
i am a musician. @ i like to play video games.,"I am a musician and I am interested in all types of music, from rock to classical and even soundtracks--for instance, I love video game soundtracks because I really like to play video games!"
i love to dance. @ i work at a coffee shop.,me too! i work at a coffee shop where i do it during breaks
"dad gave me a toy vehicle. @  sadly , my kitten fluffy passed away suddenly.","Dad gave me a toy vehicle, which all my pets love to play with. My kitten used to as well, but sadly my kitten Fluffy passed away suddenly."
"dad gave me a toy vehicle. @  sadly , my kitten fluffy passed away suddenly.",one time I got a cat for christmas
"dad gave me a toy vehicle. @  sadly , my kitten fluffy passed away suddenly.",My dad gave me a toy once.  It was after my kitten passed away suddenly.
i participate in a sport using a racket and ball. @ i love my two siblings.,I play tennis with my brother and sister.  I love them very much.
i participate in a sport using a racket and ball. @ i love my two siblings.,I wish I was skilled in tennis.  I admire Venus and Serena.
i participate in a sport using a racket and ball. @ i love my two siblings.,my brother used to be a professional badminton player
i love to play tennis. @ i work as a lifeguard.,I have never played tennis before but I keep pretty active as I work as a lifeguard.
i love to play tennis. @ i work as a lifeguard.,I don't like spending time indoors. That's partially why I work as a lifeguard.
i love to play tennis. @ i work as a lifeguard.,Is it your job?
i have hit alot of attractions. @ i like to walk through nature.,I have been able to hit a lot of attractions because I love to walk through nature.
i have hit alot of attractions. @ i like to walk through nature.,I like to vacation in the mountains to see the attractions and to see the beauty of the parks.
i have hit alot of attractions. @ i like to walk through nature.,My favorite attractions are National Parks.
i am good at beach sports. @ i enjoy the fashion and beauty industries.,I love the fashion that people wear at the beach.
i am good at beach sports. @ i enjoy the fashion and beauty industries.,I know there's a lot of demand for suitable wear for beach sports. This is one of the reasons why I enjoy the fashion and beauty industries.
i am good at beach sports. @ i enjoy the fashion and beauty industries.,The fashion and beauty industries have come a long way when it comes to designing beachware for sports.
i am good at beach sports. @ i enjoy the fashion and beauty industries.,I've done great on my beach volleyball team during the summer which helps me observe new trends coming out in both the fashion and beauty industries.
i am good at beach sports. @ i enjoy the fashion and beauty industries.,I love watching professional beach volleyball and my girlfriend always picks up great bathing suit ideas from the players!
i really do not enjoy preparing food for myself. @ i like playing x box.,I prefer playing video games instead
i really do not enjoy preparing food for myself. @ i like playing x box.,But I often play x box for so long that I don't have any time to cook food for myself and have to order delivery.
i really do not enjoy preparing food for myself. @ i like playing x box.,"Most of my meals are frozen foods that I heat up in the microwave, so I have more time to play video games. I like playing X Box."
i love to go hiking. @ i have never been out of the country.,"I do as well, I went hiking in the countryside of France over the summer, it was wonderful!"
i love to go hiking. @ i have never been out of the country.,"hiking sounds fun. i don't go out much, i haven't even been out of the country."
i love to go hiking. @ i have never been out of the country.,I like to travel to different parts of the country and go hiking.
i want to help people. @ i care about others.,i would like to work at a homeless shelter
i want to help people. @ i care about others.,"Yes, I agree with you.  I want to help people because I care about others."
i want to help people. @ i care about others.,People are all human like myself so I care about others.
i really like to look at paintings and statues. @ i am in charge of my dad and moms company.,My dad and mom's company is an art exhibition showing paintings and statues.
i really like to look at paintings and statues. @ i am in charge of my dad and moms company.,I always liked art.  I buy nice pieces from the money that I make managing my parents' company.
i really like to look at paintings and statues. @ i am in charge of my dad and moms company.,I used to own an art gallery.
i work at a salon. @ i hate throwing out plastic.,I work at a green salon.  I don't like wasting plastic.
i work at a salon. @ i hate throwing out plastic.,"I couldn't handle all of the chemicals used there, though I tend to be fanatical about that, according to some."
i work at a salon. @ i hate throwing out plastic.,The salon I go to is always throwing out their plastic products and it annoys me.
i care about the environment. @ females from other countries are pretty.,I've noticed that women from countries with the cleanest air and most pristine environment tend to be the msot beautiful.
i care about the environment. @ females from other countries are pretty.,"I care about the environment so I travel around the globe helping with conservation efforts, and I can't help but notice that females from other countries are pretty."
i care about the environment. @ females from other countries are pretty.,Last year I went to an environmental symposium in europe and met a lot of attractive women.
i participate in a sport using a racket and ball. @ i am married to a lecturer at the university of maryland.,My husband is tennis player and educator.  I am married to a lecturer at the University of Maryland.
i participate in a sport using a racket and ball. @ i am married to a lecturer at the university of maryland.,I play next to a college.
i participate in a sport using a racket and ball. @ i am married to a lecturer at the university of maryland.,On weekends my wife and I go out onto the courts to play racketball.
music comes easy to me. @ i have not told my family that i am interested in the same sex.,Music gives me peace.  It's hard when you haven't told your family that you are gay.
music comes easy to me. @ i have not told my family that i am interested in the same sex.,I was in a band for a while. It's how I met my boyfriend.
music comes easy to me. @ i have not told my family that i am interested in the same sex.,There are many gay musicians right now.
my dad was a police officer. @ i drive a rig.,I did not follow in my dad's footsteps.
my dad was a police officer. @ i drive a rig.,"Jobs involving driving are not my forte really, but some people do like that."
my dad was a police officer. @ i drive a rig.,"I used to work in law enforcement, but the job was too dangerous and I changed over to becoming a rig trucker."
my work is in leadership at safeway. @ i would love to be a professional.,I recently got a new job as an executive.
my work is in leadership at safeway. @ i would love to be a professional.,"My work is in leadership at Safeway, but someday I hope to work myself up to the executive ranks because I would love to be a professional."
my work is in leadership at safeway. @ i would love to be a professional.,I'm applying to local grocery stores for a managerial position.
i love to travel. @ i work as a freight truck driver.,I love to travel which fits perfectly with my job because I work as a freight truck driver.
i love to travel. @ i work as a freight truck driver.,I get to travel all over because of my job. I work as a freight truck driver.
i love to travel. @ i work as a freight truck driver.,My job lets me see many different places.
i like sports. @ my favorite team is the raptors.,I only started really liking sports because of the raptors. I live next door to their star player and he's a very nice guy.
i like sports. @ my favorite team is the raptors.,I have always like sports.  I like going to Raptors' games.
i like sports. @ my favorite team is the raptors.,"I've been a big sports fan since I moved here, that's why my favorite team is the Raptors."
i enjoy hearing others stories. @ i have a medical condition that is made worse by the cold weather in my state.,"If you like stories, I have a lot of stories about my skiing vacations."
i enjoy hearing others stories. @ i have a medical condition that is made worse by the cold weather in my state.,I like to hear about different medical issues.
i enjoy hearing others stories. @ i have a medical condition that is made worse by the cold weather in my state.,People who have to stay at the hospital usually have interesting stories.
i like catching sharks. @ dad will not let me buy apple products since he worked for their competitor.,My dad hates apple products so much that he takes their products out to the ocean and throws them in the water with the sharks.
i like catching sharks. @ dad will not let me buy apple products since he worked for their competitor.,That sounds dangerous which is why I stick to photographing sharks with anything but apple products.
i like catching sharks. @ dad will not let me buy apple products since he worked for their competitor.,I like to record my adventures on my phone.
i win a lot at the casino. @ i want to learn how to manage a place in vegas.,"I love gambling, and want a career in casino management."
i win a lot at the casino. @ i want to learn how to manage a place in vegas.,I love going to Vegas
i win a lot at the casino. @ i want to learn how to manage a place in vegas.,"That's cool, I never win at the Casino, so I try not to go. Do you still want to move to Vegas?"
i like to test my voice while i clean off. @ i have a masters of business.,I have to check my voice because I give many business presentations.
i like to test my voice while i clean off. @ i have a masters of business.,"I wanted to sing, but I had to go to college."
i like to test my voice while i clean off. @ i have a masters of business.,"I can't sing in tune to save my life, but I could sell an icecube to a snowman."
i really enjoy doing vocals with the band. @ i just left my teens.,I really enjoy doing vocals with the band I put together. And now we can play in adult clubs because I just left my teens.
i really enjoy doing vocals with the band. @ i just left my teens.,I want to be in a band by the time I'm in my twenties.  I've just left my teens.
i really enjoy doing vocals with the band. @ i just left my teens.,I'm older so i stopped.
i love to redesign houses. @ i like to spend time with my kids.,In my free time I like to spend time with my kids and remodel houses.
i love to redesign houses. @ i like to spend time with my kids.,Home design is my passion along with my kids activities.
i love to redesign houses. @ i like to spend time with my kids.,"I like the idea of it, but I guess I would rather do other things than that with others/socially more."
i love to redesign houses. @ i like to spend time with my kids.,When I am not redesigning houses I like to be with my kids.
i love to redesign houses. @ i like to spend time with my kids.,My whole family volunteered for Habitat For Humanity and I got to spend a lot of time with my kids helping to build and design the houses.
i love to redesign houses. @ i like to spend time with my kids.,"I would love to redesign houses, but that would take away time from my friends."
i love to travel. @ my hair is short and pink.,"I was abroad just last week. I went to mexico, got my hair done there. It's so short and pink now."
i hate the taste of cheese. @ i am a great cook.,I bet I could prepare something with it in a way you would like.
i love fish. @ my career is in a library.,When I am not working I am fishing.
i love fish. @ my career is in a library.,"I love fish and I'm interested in everything about them, which is great because I can read everything I want since my career is in a library."
i love fish. @ my career is in a library.,I like to fish when I am not working as a librarian.
i have a lot of kids. @ i have a ski house in colorado.,My kids and I stay at our ski house in colorado.
i have a lot of kids. @ i have a ski house in colorado.,"I have a lot of kids and they're all very active. Their favorite activity is skiing, so it's lucky I have a ski house in Colorado."
i have a lot of kids. @ i have a ski house in colorado.,I like to take my kids to my ski house.
i have a lot of kids. @ i have a ski house in colorado.,"I have a lot of kids and they're all very active and fun-loving. They really love winter sports, which works out well because I have a ski house in Colorado."
i have a lot of kids. @ i have a ski house in colorado.,I take my kids skiing every winter.
i have a lot of kids. @ i have a ski house in colorado.,My kids loving playing with snow so I have a ski house in colorado.
i am a father. @ i like basketball.,I grew up in a house that watched a lot of sports. I believe that's why I like basketball.
i am a father. @ i like basketball.,I really like to spent time outside with my boys playing basketball.  Fortunately I like basketball.
i am a father. @ i like basketball.,I like basketball a lot and see a lot of fathers with their sons playing at the park I go to.
my mother is the greatest chef in the world. @ i really enjoy watching classic films over the new ones.,"My mother is the greatest chef in the world and I especially love her old world dishes. I'm a traditionalist when it comes to everything, though; for example, I really enjoy watching classic films over the new ones."
my mother is the greatest chef in the world. @ i really enjoy watching classic films over the new ones.,My mother never really cooked.  She instilled a love of classic movies to me though.
my mother is the greatest chef in the world. @ i really enjoy watching classic films over the new ones.,My favorite hobbies are cooking and watching films.
my dad was a police officer. @ my mos was working in school.,"I'll bet he had some stories to share. My mom worked at a school, and she told us some real whoppers!"
my dad was a police officer. @ my mos was working in school.,My dad often worked in a school to make sure the kids where safe.
my dad was a police officer. @ my mos was working in school.,My dad work late nights as a police officer which was the opposite of my mom’s dayshift at the school.
i love to exercise on a machine with two wheels and foot powered pedals. @ i enjoy art.,I actually look at art books when I'm exercising because it keeps my focused.
i love to exercise on a machine with two wheels and foot powered pedals. @ i enjoy art.,"I love to exercise on a machine with two wheels and foot powered pedals and when I do, I usually visit this lovely outdoor gallery nearby. It's terrific because I can check out the artwork and still exercise, which is perfect because I really enjoy art."
i love to exercise on a machine with two wheels and foot powered pedals. @ i enjoy art.,I prefer more sedentary activities.
i enjoy learning about railroads. @ dad gave me a toy vehicle.,I enjoy learning about railroads because it helps me with the train set I'm building in my basement with my dad. And he's great because he always brings me things to add to it; yesterday my dad gave me a toy vehicle to park at the train station.
i enjoy learning about railroads. @ dad gave me a toy vehicle.,I used to play with toy trains as a child.
i enjoy learning about railroads. @ dad gave me a toy vehicle.,I'm guessing you get many train-related gifts.
cooking is my passion !. @ i believe it does not take extra effort to be nice.,I always like to cook for my house guests and treat them well.
cooking is my passion !. @ i believe it does not take extra effort to be nice.,There's always someone rude in the aisle when I go grocery shopping for things I want to cook.
cooking is my passion !. @ i believe it does not take extra effort to be nice.,"Cooking is something I love, which makes it easy for  me to be nice to people by giving them food."
i like cats. @ i live in my parent s basement.,My parents won't let me have a cat. I live in their basement.
i like cats. @ i live in my parent s basement.,"I like cats and dogs.  Unfortunately, I cannot have any pets since I live in my parent's basement."
i like cats. @ i live in my parent s basement.,My parents are not really big cat fans so they don't really want them in the house.
i care about my education. @ i am a spiritual person.,My education has helped me understand so much.  Religious studies has opened my eyes to my own religion.
i care about my education. @ i am a spiritual person.,I also care about my church.
i care about my education. @ i am a spiritual person.,"I heard you were accepted into a really great private school, isn't it that Catholic school in the city? Are you religious?"
i am a parent to 3 kids. @ i work in billing.,I work hard to support my kids.
i am a parent to 3 kids. @ i work in billing.,"I wish I made more because it's hard to provide for all of them. My job is kind of boring, too."
i am a parent to 3 kids. @ i work in billing.,"I don't like my job, but I have to work here to make enough money to support my kids."
i am in a lot of debt. @ i am failing some of my classes.,"I am in debt as well, plus I am failing some of my classes."
i wear nice clothes. @ i exercise often and have nice muscles.,"I wish I had more money to buy nice clothes but I only have a low paid job.  Since my employer pays for my gym membership, I exercise often and have nice muscles."
i wear nice clothes. @ i exercise often and have nice muscles.,"I have nice clothes, but I don't wear them a lot because I workout often and am usually wearing gym clothes."
i wear nice clothes. @ i exercise often and have nice muscles.,I like tight fitting clothing because it shows off my muscles.
the smell of the ice and the coldness in the area draws me to games. @ i travel a lot.,"I've been to a few games in the area, but I tend to travel a lot."
the smell of the ice and the coldness in the area draws me to games. @ i travel a lot.,I have not experienced many different places since I do not travel much unfortunately.
the smell of the ice and the coldness in the area draws me to games. @ i travel a lot.,Being in winter weather calls to me.
i am a yoga instructor. @ i do not like acting.,One of my students thinks I should perform in movies
i exercise a lot. @ i have a spouse and children in the us.,I need to get rid of baby fat.
i exercise a lot. @ i have a spouse and children in the us.,My husband owns a gym in California.
i exercise a lot. @ i have a spouse and children in the us.,I use to exercise a lot when I lived in Europe but now I have moved to a the US.
i love reading scary books. @ the sky is pretty.,I prefer lovely things that fill the soul.
i love reading scary books. @ the sky is pretty.,I love reading scary books while I sit on my porch as the sun is setting. The sky is so pretty that time of day and it creates a really spooky mood when the sun starts to go down.
i love reading scary books. @ the sky is pretty.,Sometimes I have to stop reading and just look up.
i devour at least 1 book a week. @ hearing people sing from the heart can move me to tears.,I can really get drawn into books and music.
i devour at least 1 book a week. @ hearing people sing from the heart can move me to tears.,"I try to read one book a month, I also really like live music."
i devour at least 1 book a week. @ hearing people sing from the heart can move me to tears.,"I devour at least 1 book a week because I just love art of all types. For example, in addition to reading, hearing people sing from the heart can move me to tears."
i find myself to be fully equipped for a battle of words. @ i am a fan if the great white.,"I also like trivia, especially about animals."
i find myself to be fully equipped for a battle of words. @ i am a fan if the great white.,"I find myself to be fully equipped for a battle of words, which comes in handy because my friend and I like to argue about everything. We even debate about the animal kingdom; for instance, he hates sharks and I am a fan of the great white."
i find myself to be fully equipped for a battle of words. @ i am a fan if the great white.,"I often get into arguments with friends who don't like the great white as much as I do, but I'm not good at debating with words. I prefer to fight physically!"
i am fresh into the post graduate world. @ i love canines.,I am enjoying university but I miss my dogs at home.
i am fresh into the post graduate world. @ i love canines.,I am fresh into the post graduate world because I just graduated with my veterinary degree. I have always wanted to be an animal doctor because I love canines.
i am fresh into the post graduate world. @ i love canines.,That sounds interesting.  I have always wanted to do post graduate in animals.
once a week i purchase a manicure. @ i want to go to europe.,"I especially like French manicures.  I wonder if they were invented in France?  I've never been to Europe at all, and I really want to go there."
once a week i purchase a manicure. @ i want to go to europe.,Manicures are a great way to treat yourself.  I'd really like to treat myself one day to a trip to Europe though.
once a week i purchase a manicure. @ i want to go to europe.,I hear there are some great beauty shops and manicurists in Europe that I can't wait to visit.
i am employed at the supermarket. @ the best musicians were rockers from the 60s.,My local supermarket likes to play rock music and they say the best musicians were rockers from the 60s.
i am employed at the supermarket. @ the best musicians were rockers from the 60s.,I know a rock musician who used to work at a supermarket when he was a teenager.
i am employed at the supermarket. @ the best musicians were rockers from the 60s.,"I am employed at the supermarket, which is a good job except the music they play over the store speakers is so cringe worthy. I think I'm gonna try to get them to play some classic oldies rock because, in my opinion, the best musicians were rockers from the 60s."
i have 3 kids. @ i am terrified of spiders,I always have to kill a bug when there is one in the house.
i have 3 kids. @ i am terrified of spiders,My children kill insects for me.
i have 3 kids. @ i am terrified of spiders,One of my children is terrified of dolphins.  Are you or your children afraid of anything?
i like to look at the sky. @ i dress in a suit.,I even wear my suit when I go outdoors for a walk to enjoy the sunshine and wide open sky. I love wearing a suit!
i like to look at the sky. @ i dress in a suit.,The sky is beautiful and that is the reason I choose clothes in the colors of the sky.
i like to look at the sky. @ i dress in a suit.,I like the color of the sky.  I have a suit in that tone.
i like mountain sports. @ i haver been to the pool.,I like to swim in the lake.
i like mountain sports. @ i haver been to the pool.,I'm afraid of heights. I'd rather swim. Have you been to the pool?
i like mountain sports. @ i haver been to the pool.,I like mountain sports and swimming.
i am in great shape. @ i need to study harder and get better grades.,I don't exercise enough because of my studies.
i am in great shape. @ i need to study harder and get better grades.,I'm not. I've been concentrating too hard on school to exercise. I have to get good grades.
i am in great shape. @ i need to study harder and get better grades.,I would love to work out more but I am busy with school.
i do not get to see my parents very often. @ my vehicle is a dark color.,My parents think I should get a dark colored vehicle.
i do not get to see my parents very often. @ my vehicle is a dark color.,When I get a chance to see my parents I use my vehicle to drive there.
i do not get to see my parents very often. @ my vehicle is a dark color.,"i was going to visit mine last week, but my white honda was covered in mud."
i love music. @ i like to cut hair.,I listen to a lot of music at work at the salon. I love to cut hair.
i love music. @ i like to cut hair.,I love working with my hands.
i love music. @ i like to cut hair.,"I like to listen to music, but my real interests involve cosmetology."
i am a happy person. @ i like to fish.,It's important to balance hustle and bustle with tranquility. I believe that is why I like to fish.
i am a happy person. @ i like to fish.,Being close to nature lifts my mood.
i am a happy person. @ i like to fish.,I have a lot of hobbies that keep me happy.
i work as a teacher and love my job. @ i have two children.,i love working with children.
i work as a teacher and love my job. @ i have two children.,"I respect that, do you have any kids? Do they attend school with you?"
i like football. @ we drink beer and eat food.,Football parties are great.  I love to have parties and drink beer and eat food.
i like football. @ we drink beer and eat food.,I like watching football with my friends. We go to someone's house and we drink beer and eat food.
i want to get married again. @ i have 10 years experience in our industry,Will your career be able to support your new spouse?
i want to get married again. @ i have 10 years experience in our industry,After my last marriage I was encouraged to switch occupations.
i am in the army. @ i fly airplanes.,I am in military also but in the airforce branch as a pilot.
i am in the army. @ i fly airplanes.,"What a coincidence, I'm in the Air Force. I travel all over and fly airplanes."
i have not told my family that i am interested in the same sex. @ i want candy.,"That is really scary to talk about because you don't know how your family will react. I completely understand, I went through that too. Do you want any of this before we keep talking?"
i have not told my family that i am interested in the same sex. @ i want candy.,My family doesn't know I'm gay.  My new boyfriend is a guy at the candy shop I love to visit.
i have not told my family that i am interested in the same sex. @ i want candy.,"When I was growing up, my parents disapproved of two things: eating candy and being gay."
my mother is the greatest chef in the world. @ i have an odd animal instead of a normal cat or dog.,My mom also let me have exotic pets. She is the best.
my mother is the greatest chef in the world. @ i have an odd animal instead of a normal cat or dog.,I always wanted a pet as a child but my parents would not let me have one.
my mother is the greatest chef in the world. @ i have an odd animal instead of a normal cat or dog.,"It's hard to cook for my odd animal because it doesn't eat regular pet food, but my mother is such a good cook that she can prepare meals for it to eat."
